学生,T1,T2,T3,T4
ST1,3,2,1,2
ST2,3,2,1,2
ST3,0,2,0,1
ST4,2,1,0,2
ST5,3,1,1,1
ST6,1,1,0,2
ST7,3,1,2,2
ST8,2,1,0,1
ST9,1,1,0,1
ST10,2,0,0,1
ST11,1,1,1,2
ST12,2,1,1,2
ST13,2,2,1,1
ST14,2,1,1,1
ST15,2,1,1,0
ST16,2,1,1,2
ST17,2,1,1,2
ST18,2,1,1,2
ST19,2,1,1,2
ST20,2,1,1,2
ST21,2,1,1,2
ST22,1,1,1,1
ST23,2,1,1,1
ST24,2,1,1,1
ST25,1,1,1,2
ST26,2,1,1,2
ST27,2,2,1,1
ST28,2,1,1,2
ST29,2,1,1,1
ST30,1,1,1,2
ST31,1,1,1,2
ST32,2,1,1,1
ST33,2,2,1,2
ST34,3,3,2,3
ST35,1,1,1,1
ST36,0,1,0,0
ST37,1,0,0,0
ST38,0,0,0,0
ST39,0,0,0,0
ST40,1,1,1,1
