学生,S1T1,S1T2,S1T3,S1T4,S2T1,S2T2,S2T3,S2T4,S3T1,S3T2,S3T3,S3T4,S4T1,S4T2,S4T3,S4T4
ST1,3,2,1,2,3,2,1,2,2,2,1,3,2,2,1,3
ST2,3,2,1,2,3,2,2,3,3,2,2,2,3,2,2,2
ST3,0,2,0,1,0,1,1,1,1,2,1,1,1,2,1,1
ST4,2,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1
ST5,3,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1
ST6,1,1,0,2,1,1,1,1,1,1,1,2,1,1,1,2
ST7,3,1,2,2,3,1,2,2,2,1,2,2,2,1,2,2
ST8,2,1,0,1,2,1,1,1,2,1,1,2,2,1,1,2
ST9,1,1,0,1,1,1,1,1,1,1,2,1,1,1,2,1
ST10,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
ST11,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
ST12,2,1,1,2,2,1,1,1,3,1,2,3,3,1,2,3
ST13,2,2,1,1,2,1,1,1,2,1,2,1,2,1,2,1
ST14,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
ST15,2,1,1,0,2,1,1,1,2,2,1,1,2,2,1,1
ST16,2,1,1,2,2,1,1,2,3,1,1,1,3,1,1,1
ST17,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,3
ST18,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2
ST19,2,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1
ST20,2,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2
ST21,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
ST22,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2
ST23,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ST24,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,1
ST25,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2
ST26,2,1,1,2,2,1,1,2,2,1,2,2,2,1,2,2
ST27,2,2,1,1,2,1,1,1,2,2,1,1,2,2,1,1
ST28,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2
ST29,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2
ST30,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2
ST31,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2
ST32,2,1,1,1,2,1,1,1,2,1,2,1,2,1,2,1
ST33,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2
ST34,3,3,2,3,3,2,2,3,3,3,2,3,3,3,2,3
ST35,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
ST36,0,1,0,0,1,1,0,1,1,2,2,1,1,2,2,1
ST37,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
ST38,0,0,0,0,1,1,1,0,1,2,2,2,1,2,2,2
ST39,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
ST40,1,1,1,1,1,0,1,1,1,1,2,1,1,1,2,1
