学生,Q1T1,Q1T2,Q1T3,Q1T4,Q2T1,Q2T2,Q2T3,Q2T4,Q3T1,Q3T2,Q3T3,Q3T4
ST1,3,2,1,2,3,2,1,2,2,2,1,3
ST2,3,2,1,2,3,2,2,3,3,2,2,2
ST3,0,2,0,1,0,1,1,1,1,2,1,1
ST4,2,1,0,2,1,1,1,1,1,1,1,1
ST5,3,1,1,1,2,1,1,2,1,1,2,1
ST6,1,1,0,2,1,1,1,1,1,1,1,2
ST7,3,1,2,2,3,1,2,2,2,1,2,2
ST8,2,1,0,1,2,1,1,1,2,1,1,2
ST9,1,1,0,1,1,1,1,1,1,1,2,1
ST10,2,0,0,1,1,1,1,1,1,1,1,1
ST11,1,1,1,2,1,1,1,1,1,1,1,1
ST12,2,1,1,2,2,1,1,1,3,1,2,3
ST13,2,2,1,1,2,1,1,1,2,1,2,1
ST14,2,1,1,1,2,1,1,1,2,1,1,1
ST15,2,1,1,0,2,1,1,1,2,2,1,1
ST16,2,1,1,2,2,1,1,2,3,1,1,1
ST17,2,1,1,2,2,2,2,2,2,2,2,3
ST18,2,1,1,2,2,1,1,2,2,1,1,2
ST19,2,1,1,2,2,1,1,1,2,1,1,1
ST20,2,1,1,2,2,1,2,2,2,1,2,2
